year,state,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,maine,12706,254120,79766.048,39577.568,0.149,0.057,0.022,0.009,0.468,0.251,0.653,147189.274,182963.131,0,44055.497,49583.391,0.632,0.368,NA,NA,0.152,0.996,0.003,0,0.168,3.36,48.384,1421.134,0.015,0.012,0.008,0.003,0.009,0.369,0.012,0.014,0.018
1960,maryland,41317,826340,123793.478,56969.323,0.23,0.094,0.038,0.015,0.541,0.076,0.727,363570.136,252573.658,0,63388.685,74367.143,0.629,0.371,NA,NA,0.215,0.853,0.145,0,0.155,3.507,45.62,2349.055,0.014,0.009,0.003,0.001,0.009,0.001,0.011,0.014,0.015
1960,massachusetts,67392,1347840,114647.075,45876.105,0.241,0.097,0.039,0.016,0.565,0.048,0.755,326993.588,237423.97,-1854.439,59425.125,67557.12,0.499,0.501,NA,NA,0.219,0.977,0.021,0,0.197,3.231,48.632,1807.812,0.01,0.006,0.002,0.001,0.007,0.001,0.009,0.009,0.016
1960,michigan,106351,2127020,128555.497,68404.53,0.215,0.089,0.036,0.015,0.499,0.108,0.68,344743.006,247299.574,3540.719,60218.474,83486.826,0.73,0.27,NA,NA,0.181,0.92,0.077,0,0.142,3.445,46.643,2913.171,0.017,0.009,0.004,0.001,0.011,0.002,0.014,0.017,0.014
1960,minnesota,46588,931760,128219.489,74232.628,0.169,0.066,0.026,0.011,0.455,0.106,0.64,244155.886,268888.741,0,51766.8,79865.08,0.704,0.296,NA,NA,0.202,0.99,0.006,0,0.154,3.391,48.582,1722.77,0.01,0.009,0.005,0.002,0.007,0.001,0.009,0.01,0.023
1960,mississippi,27457,549140,70533.918,33167.538,0.173,0.064,0.026,0.01,0.522,0.053,0.714,168781.714,167955.345,-2825.557,31726.79,41948.102,0.568,0.432,NA,NA,0.135,0.63,0.368,0,0.183,3.818,48.782,1490.382,0.017,0.011,0.005,0.002,0.01,0.001,0.013,0.017,0.017
1960,missouri,64632,1292640,103589.155,48679.653,0.205,0.08,0.032,0.013,0.515,0.073,0.703,251527.536,220356.118,0,47824.179,58467.363,0.626,0.374,NA,NA,0.165,0.922,0.077,0,0.181,3.117,49.32,1081.626,0.008,0.009,0.004,0.002,0.005,0.001,0.006,0.009,0.02
1960,montana,9535,190700,114694.736,55195.876,0.152,0.059,0.024,0.01,0.479,0.073,0.676,230099.69,278191.223,-1730.317,48654.835,63815.689,0.621,0.379,NA,NA,0.217,0.975,0.002,0,0.144,3.291,47.937,4288.324,0.027,0.012,0.005,0.002,0.019,0.003,0.024,0.023,0.023
1960,nebraska,20665,413300,114052.005,57156.405,0.155,0.058,0.024,0.01,0.477,0.082,0.667,216237.767,268427.98,-2246.377,45624.1,59365.432,0.635,0.365,NA,NA,0.194,0.979,0.018,0,0.156,3.211,49.277,3883.503,0.024,0.014,0.005,0.002,0.017,0.003,0.022,0.021,0.025
1960,nevada,4376,87520,117918.244,48064.79,0.194,0.074,0.03,0.012,0.537,0.062,0.717,229658.558,263707.308,-2262.449,61766.596,68541.651,0.544,0.456,NA,NA,0.255,0.943,0.036,0.001,0.135,3.042,45.035,3661.212,0.026,0.017,0.007,0.003,0.014,0.002,0.019,0.025,0.026
1960,new hampshire,8160,163200,92182.404,47751.442,0.162,0.056,0.021,0.009,0.478,0.251,0.659,167668.319,207425.418,0,51237.2,59036.556,0.614,0.386,NA,NA,0.173,0.997,0.003,0,0.165,3.231,48.362,2307.538,0.021,0.017,0.01,0.003,0.013,0.369,0.016,0.02,0.026
1960,new jersey,81758,1635160,172997.441,65607.855,0.308,0.126,0.051,0.021,0.613,0.056,0.824,1034719.202,291654.752,0,69108.391,105670.718,0.575,0.425,NA,NA,0.213,0.924,0.074,0,0.156,3.299,47.336,21152.423,0.065,0.028,0.012,0.005,0.05,0.007,0.063,0.053,0.012
